loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_impact,koi_duration,koi_depth,koi_ror,koi_prad,koi_teq,koi_insol,koi_dor,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass
3864,7596240,K04295.01,Kepler-1584 b,CONFIRMED,13.399755500,0.3750,3.53400,1.6730e+02,0.012052,1.51,886.0,145.65,27.230000,6401.00,4.389,-0.0400,1.1500,1.1830
3868,7427764,K04364.01,Kepler-1595 b,CONFIRMED,4.563836970,0.3650,2.27100,2.0180e+02,0.013000,1.22,980.0,218.18,14.520000,5408.00,4.496,-0.0600,0.8610,0.8480
3874,8416523,K04441.01,Kepler-1604 b,CONFIRMED,0.341842017,0.9570,1.15540,2.8560e+02,0.021058,1.72,2023.0,3991.16,1.268000,5016.00,4.601,0.0200,0.7470,0.8170
3882,9872831,K04230.01,Kepler-1572 b,CONFIRMED,5.495485330,0.2020,2.46100,8.5800e+01,0.008542,1.30,1293.0,661.04,16.870000,6157.00,4.159,-0.2600,1.3920,1.0200
3885,12306058,K02541.02,Kepler-391 c,CONFIRMED,20.485389300,0.8340,10.22900,8.9500e+01,0.009922,3.60,1015.0,251.16,8.760000,4938.00,3.450,0.0000,3.3240,1.1360
3886,8507475,K04300.01,Kepler-1585 b,CONFIRMED,3.582738370,0.1430,1.52300,3.6050e+02,0.017176,1.64,1064.0,302.74,18.110000,5448.00,4.517,0.0700,0.8720,0.9120
3887,8773015,K04301.01,Kepler-1586 b,CONFIRMED,15.604841000,0.7150,4.54300,7.3400e+01,0.008408,1.57,1013.0,248.62,18.690000,6254.00,4.019,-0.2600,1.7060,1.1100
3900,11080405,K02442.02,Kepler-386 b,CONFIRMED,12.310135100,0.7830,3.79700,2.6370e+02,0.016487,1.51,651.0,42.42,16.090000,5009.00,4.491,0.1600,0.8400,0.7970
3901,11509504,K04232.01,Kepler-1573 b,CONFIRMED,2.615765150,0.2500,2.77700,1.2040e+02,0.010133,1.06,1379.0,851.60,7.070000,6088.00,4.446,-0.4000,0.9580,0.9340
3903,11611275,K04234.01,Kepler-1574 b,CONFIRMED,6.942452160,0.4850,3.49100,1.6080e+02,0.011886,1.34,1003.0,239.39,13.520000,6108.00,4.466,0.0700,1.0300,1.1320
